Geoname ID,Name
3948841,Huayllati
6379282,Duraznopampa
8689248,Kimbiri
9780965,Urb. Santo Domingo
12157098,Cono Norte
12157111,Miramar
2093967,Kimbe
1680116,NIA Valencia
1680216,Upper Klinan
1680275,Unidos
1680763,Tumarbong
1680797,Tumalaytay
1680913,Tuhian
1681245,Tubao
1681419,Topdac
1681464,Tongouson
1681602,Toledo
1681677,Tiwi
1681759,Tinutulan
1681766,Tinongan
1681887,Tinawagan
1681936,Tinambac
1682182,Tignapalan
1682250,Tigbauan
1682393,Tiblawan
1682913,Tapon
1682951,Tapia
1683293,Tandayag
1683456,Tamnag
1683602,Tambilil
1683900,Talipao
1684454,Tagdanua
1684892,Tabon
1685203,Surup
1685340,Sumagui
1685875,Solano
1686009,Sison
1687488,San Vicente
1687818,Santiago
1688164,Santa Fe
1688172,Santa Fe
1688372,Santa Barbara
1688398,Santa Ana
1688420,Santa
1688786,San Patricio
1688864,San Nicolas
1689010,San Miguel
1689540,San Jose
1689988,San Francisco
1690016,San Francisco
1690045,San Fernando
1690095,San Fabian
1690880,Salinas
1690891,Salimbalan
1690920,Salaza
1691103,Sagrada Familia
1691152,Sagay
1691166,Sagasa
1691174,Sagana
1691346,Sabang Indan
1691442,Roxas
1691712,Rimus
1692032,Quinipot
1692460,Pongol
1692754,Progreso
1693020,Pantukan
1693125,Polillo
1693201,Poctol
1693394,Limbuhan
1693506,Pindangan Centro
1693874,Pikit
1694667,Paringao
1694988,Pantabangan
1695083,Panitian
1695107,Panique
1695220,Pangpang
1695283,Pangil
1695506,Pandan Niog
1695555,Pandan
1695594,Pancol
1695887,Pambujan
1696395,Pakil
1696767,Padapada
1697260,Ogtongon
1697332,Ocampo
1698673,Nagrumbuan
1699246,Moog
1699519,Minuyan
1700084,Mayana
1700156,Mauhao
1700213,Matungao
1700379,Matayumtayum
1701200,Maquiapo
1701218,Maputi
1701257,Mapili
1701939,Mandih
1701998,Mancilang
1702066,Manaring
1702425,Maluso
1702486,Malway
1702652,Malisbeng
1702962,Malawag
1703003,Malatap
1703357,Malabanan
1703773,Magsaysay
1704021,Maganoy
1704575,Mabini
1704772,Maasim
1705190,Lumbang
1705597,Lookan
1706467,Ligaya
1706629,Libmanan
1706669,Libertad
1706675,Libertad
1706732,Libas
1706757,Libacao
1706852,Lennec
1707324,La Paz
1707827,Lambakin
1708557,Kolambugan
1709024,Kawayan
1709166,Karungdong
1709248,Kapatagan
1709644,Kalbugan
1709886,Kabugao
1710559,Irahuan
1710590,Ipilan
1711146,Ilagan
1711415,Yuni
1711807,Hibaiyo
1711978,Haguimit
1711997,Hagdan
1712822,Glad
1713018,General Tinio
1713495,Gabao
1713787,Esperanza
1714416,Talagutong
1715655,Dansuli
1715704,Danglas
1716014,Dalican
1716365,Da-an Sur
1716750,Cotmon
1716786,Cortez
1717197,Culacling
1717351,Claveria
1717441,Chambrey
1717592,Kauit
1717792,Catubig
1717812,Cato
1717844,Catmon
1718084,Castilla
1718319,Carmen
1718333,Carmen
1718393,Carigara
1718600,Capucnasan
1719267,Candiis
1719699,Camias
1720237,Calituban
1720257,Colipapa
1720274,Calinog
1721322,Cabungan
1722136,Buyo
1722868,Buliok
1723013,Bulalacao
1723166,Buhi
1723403,Buenavista
1723818,Boton
1724437,Bogo
1725294,Bilar
1725297,Bilao
1725904,Bayabas
1726000,Batutitik
1726466,Basay
1726630,Barlig
1727052,Bantay
1727080,Bansalan
1727347,Banganan
1727792,Balud
1727914,Balogo
1728272,Baleno
1729324,Baggabag B
1730010,Atabayan
1730204,Arenas
1730346,Santa Rita Aplaya
1730468,Anuling
1730802,Andili
1730963,Amucao
1731033,Amlimay
1731528,Aliaga
1731969,Agoncillo
1958505,Taguitic
1979117,Lopez Jaena
8335226,Ayala Alabang
1162261,Zaida
1163967,Tando Adam
1164076,Thal
1167380,Rajanpur
1167798,Pithoro
1170294,Mirpur Mathelo
1172993,Kot Malik Barkhurdar
1175012,Kandiari
1176995,Havelian
1177073,Harunabad
1179515,Duki
1180453,Darya Khan Marri
1180983,Chuhar Kana
1184075,Baddomalhi
1347134,Alik Ghund
7536245,Athmuqam
753037,Żurowa
754520,Wyśmierzyce
754847,Wólka Tanewska
755572,Wiśniowa
756048,Węgorzewo
756197,Jodłówka-Wałki
757479,Szarów
758467,Srokowo
759399,Siedliska
759534,Sawin
760745,Radoszyce
760825,Raczki
761255,Pruchnik
762663,Paprotnia
762904,Ostrów
763121,Opatów
763989,Niedźwiada
765106,Maszkienice
766783,Łapy
767237,Krzywda
767357,Krynki
767610,Krasnopol
768146,Korczew
769534,Karczmiska
770001,Józefów nad Wisłą
770288,Jastków
770609,Jakubów
770792,Iłża
770966,Hrubieszów
771384,Grójec
771985,Godziszów
772518,Firlej
772722,Dziekanów Leśny
772822,Dwikozy
773148,Dobre Miasto
774158,Ciepielów
774505,Chmielnik
774649,Cegłów
775513,Borowa
775634,Bolimów
776172,Biała Rawska
776407,Baranowo
3079855,Żywiec
3079923,Zwierzyń
3080083,Złotniki Kujawskie
3080165,Zielona Góra
3080389,Zdzieszowice
3080636,Zarzecze
3081003,Zaborze
3081330,Wrząsowice
3081387,Wręczyca Wielka
3081839,Witaszyce
3082310,Wielgie
3082635,Wapno
3082647,Wąpielsk
3082838,Ujście
3082914,Tychy
3083158,Trzcińsko Zdrój
3083667,Szlachta
3084660,Stepnica
3084717,Stawiszyn
3085219,Sokolniki
3085384,Śmiłowo
3086000,Sieniawa
3087076,Rogoźnik
3088435,Polkowice
3088504,Połajewo
3088535,Pogwizdów
3088788,Płoty
3090364,Obrzycko
3091641,Młynary
3091831,Mikołów
3091913,Mielno
3091937,Mieleszyn
3091957,Miejska Górka
3091991,Międzybórz
3092402,Małomice
3093350,Lipiany
3094043,Łąck
3094449,Krzyszkowice
3094981,Kowal
3095013,Kotlin
3095193,Kornowac
3096328,Kęty
3096392,Kaźmierz
3096779,Kamienna Góra
3097594,Janowiec Wielkopolski
3097935,Huta Stara B
3099378,Cielmice
3099619,Gąbin
3099634,Frombork
3099654,Fordon
3099778,Dziećmorowice
3100619,Daszyna
3100880,Dąbie
3100936,Człopa
3101170,Czarna Woda
3101198,Czarków
3101869,Cewice
3103531,Biały Bór
3104132,Aleksandrów Łódzki
7302565,Rzgów
12047621,Rejon ulicy Saperów
12047646,Swojczyce
4562710,Bajandas
4562860,Benitez
4563249,Carrizales
4563298,Cataño
4563773,Ciales
4564256,Emajagua
4565689,Jobos
4566650,Pastos
4566992,Punta Santiago
281716,Surdā
282485,Pedu’el
282615,Nablus
283096,Qalqas
283918,Far‘ūn
284081,Dayr Ballūţ
284187,Brūqīn
284329,Bayt Ūmmar
284515,‘Ayn ‘Arīk
284524,‘Aynabūs
284598,Ash Shuhadā’
284899,Jericho
285070,Al Jīb
